frame,input.bJump,input.bJumped,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
95,False,False,0.000000,0.000000,1.040000,0.000000,207.569992,1.630000,0.000000,-12.270000,-0.021264,0.004815,-0.006406,0.999742,-0.119800,0.000000,-0.049400
96,False,False,0.000000,0.000000,1.050000,0.000000,207.459991,1.630000,0.000000,-13.389999,-0.021744,0.004815,-0.006611,0.999730,-0.115000,0.000000,-0.048600
97,False,False,0.000000,0.000000,1.060000,0.000000,207.339996,1.630000,0.000000,-14.120000,-0.022202,0.004815,-0.006811,0.999719,-0.110400,0.000000,-0.047800
98,False,False,0.000000,0.000000,1.070000,0.000000,207.220001,1.630000,0.000000,-14.589999,-0.022645,0.004815,-0.007011,0.999707,-0.106000,0.000000,-0.047000
99,False,False,0.000000,0.000000,1.080000,0.000000,207.099991,1.630000,0.000000,-14.900000,-0.023066,0.004815,-0.007205,0.999696,-0.101700,0.000000,-0.046200
100,False,False,0.000000,0.000000,1.090000,0.000000,206.970001,1.630000,0.000000,-15.099999,-0.023470,0.004815,-0.007394,0.999686,-0.097600,0.000000,-0.045400
101,False,False,0.000000,0.000000,1.100000,0.000000,206.839996,1.630000,0.000000,-15.230000,-0.023859,0.004815,-0.007582,0.999675,-0.093700,0.000000,-0.044600
102,False,False,0.000000,0.000000,1.110000,0.000000,206.709991,1.630000,0.000000,-15.309999,-0.024231,0.004815,-0.007766,0.999664,-0.089900,0.000000,-0.043900
103,False,False,0.000000,0.000000,1.120000,0.000000,206.580002,1.630000,0.000000,-15.360000,-0.024587,0.004815,-0.007949,0.999654,-0.086300,0.000000,-0.043200
104,False,False,0.000000,0.000000,1.130000,0.000000,206.449997,1.630000,0.000000,-15.400000,-0.024932,0.004815,-0.008127,0.999644,-0.082800,0.000000,-0.042500
105,False,False,0.000000,0.000000,1.140000,0.000000,206.319992,1.630000,0.000000,-15.420000,-0.025261,0.004815,-0.008305,0.999635,-0.079500,0.000000,-0.041800
106,False,False,0.000000,0.000000,1.150000,0.000000,206.190002,1.630000,0.000000,-15.429999,-0.025580,0.004815,-0.008478,0.999625,-0.076300,0.000000,-0.041100
107,False,False,0.000000,0.000000,1.160000,0.000000,206.059998,1.630000,0.000000,-15.440000,-0.025882,0.004815,-0.008651,0.999616,-0.073200,0.000000,-0.040400
108,False,False,0.000000,0.000000,1.170000,0.000000,205.929993,1.630000,0.000000,-15.450000,-0.026173,0.004815,-0.008818,0.999607,-0.070200,0.000000,-0.039700
109,False,False,0.000000,0.000000,1.180000,0.000000,205.799988,1.630000,0.000000,-15.450000,-0.026453,0.004815,-0.008980,0.999598,-0.067400,0.000000,-0.039000
110,False,False,0.000000,0.000000,1.190000,0.000000,205.669998,1.630000,0.000000,-15.450000,-0.026723,0.004815,-0.009142,0.999589,-0.064700,0.000000,-0.038300
111,False,False,0.000000,0.000000,1.200000,0.000000,205.539993,1.630000,0.000000,-15.450000,-0.026982,0.004815,-0.009298,0.999581,-0.062100,0.000000,-0.037700
112,False,False,0.000000,0.000000,1.210000,0.000000,205.409988,1.630000,0.000000,-15.450000,-0.027230,0.004815,-0.009454,0.999573,-0.059600,0.000000,-0.037100
113,False,False,0.000000,0.000000,1.220000,0.000000,205.279999,1.630000,0.000000,-15.450000,-0.027468,0.004815,-0.009605,0.999565,-0.057200,0.000000,-0.036500
114,False,False,0.000000,0.000000,1.230000,0.000000,205.149994,1.630000,0.000000,-15.450000,-0.027694,0.004815,-0.009757,0.999557,-0.054900,0.000000,-0.035900
115,False,False,0.000000,0.000000,1.240000,0.000000,205.019989,1.630000,0.000000,-15.450000,-0.027915,0.004815,-0.009902,0.999550,-0.052700,0.000000,-0.035300
116,False,False,0.000000,0.000000,1.250000,0.000000,204.889999,1.630000,0.000000,-15.450000,-0.028126,0.004815,-0.010048,0.999542,-0.050600,0.000000,-0.034700
117,False,False,0.000000,0.000000,1.260000,0.000000,204.759995,1.630000,0.000000,-15.450000,-0.028325,0.004815,-0.010194,0.999535,-0.048500,0.000000,-0.034100
118,False,False,0.000000,0.000000,1.270000,0.000000,204.629990,1.630000,0.000000,-15.450000,-0.028520,0.004815,-0.010334,0.999528,-0.046500,0.000000,-0.033500
119,False,False,0.000000,0.000000,1.280000,0.000000,204.500000,1.630000,0.000000,-15.450000,-0.028703,0.004815,-0.010474,0.999521,-0.044600,0.000000,-0.032900
120,False,False,0.000000,0.000000,1.290000,0.000000,204.369995,1.630000,0.000000,-15.450000,-0.028881,0.004815,-0.010609,0.999515,-0.042800,0.000000,-0.032300
121,False,False,0.000000,0.000000,1.300000,0.000000,204.239990,1.630000,0.000000,-15.450000,-0.029054,0.004815,-0.010744,0.999508,-0.041000,0.000000,-0.031700
122,False,False,0.000000,0.000000,1.310000,0.000000,204.110001,1.630000,0.000000,-15.450000,-0.029216,0.004815,-0.010873,0.999502,-0.039300,0.000000,-0.031200
123,False,False,0.000000,0.000000,1.320000,0.000000,203.979996,1.630000,0.000000,-15.450000,-0.029372,0.004815,-0.011003,0.999496,-0.037700,0.000000,-0.030700
124,False,False,0.000000,0.000000,1.330000,0.000000,203.849991,1.630000,0.000000,-15.450000,-0.029523,0.004815,-0.011127,0.999491,-0.036200,0.000000,-0.030200
125,False,False,0.000000,0.000000,1.340000,0.000000,203.720001,1.630000,0.000000,-15.450000,-0.029669,0.004815,-0.011251,0.999485,-0.034700,0.000000,-0.029700
126,False,False,0.000000,0.000000,1.350000,0.000000,203.589996,1.630000,0.000000,-15.450000,-0.029809,0.004815,-0.011375,0.999479,-0.033300,0.000000,-0.029200
127,False,False,0.000000,0.000000,1.360000,0.000000,203.459991,1.630000,0.000000,-15.450000,-0.029944,0.004815,-0.011494,0.999474,-0.031900,0.000000,-0.028700
128,False,False,0.000000,0.000000,1.370000,0.000000,203.330002,1.630000,0.000000,-15.450000,-0.030073,0.004815,-0.011612,0.999469,-0.030600,0.000000,-0.028200
129,False,False,0.000000,0.000000,1.380000,0.000000,203.199997,1.630000,0.000000,-15.450000,-0.030197,0.004815,-0.011731,0.999463,-0.029300,0.000000,-0.027700
130,False,False,0.000000,0.000000,1.390000,0.000000,203.069992,1.630000,0.000000,-15.450000,-0.030316,0.004815,-0.011844,0.999458,-0.028100,0.000000,-0.027200
131,False,False,0.000000,0.000000,1.400000,0.000000,202.940002,1.630000,0.000000,-15.450000,-0.030429,0.004815,-0.011958,0.999454,-0.026900,0.000000,-0.026700
132,False,False,0.000000,0.000000,1.410000,0.000000,202.809998,1.630000,0.000000,-15.450000,-0.030537,0.004815,-0.012066,0.999449,-0.025800,0.000000,-0.026200
133,False,False,0.000000,0.000000,1.420000,0.000000,202.679993,1.630000,0.000000,-15.450000,-0.030640,0.004815,-0.012173,0.999445,-0.024700,0.000000,-0.025700
134,False,False,0.000000,0.000000,1.430000,0.000000,202.550003,1.630000,0.000000,-15.450000,-0.030737,0.004815,-0.012281,0.999440,-0.023700,0.000000,-0.025200
135,False,False,0.000000,0.000000,1.440000,0.000000,202.419998,1.630000,0.000000,-15.450000,-0.030829,0.004815,-0.012384,0.999436,-0.022700,0.000000,-0.024800
136,False,False,0.000000,0.000000,1.450000,0.000000,202.289993,1.630000,0.000000,-15.450000,-0.030920,0.004815,-0.012486,0.999432,-0.021700,0.000000,-0.024400
137,False,False,0.000000,0.000000,1.460000,0.000000,202.159988,1.630000,0.000000,-15.450000,-0.031007,0.004815,-0.012589,0.999428,-0.020800,0.000000,-0.024000
138,False,False,0.000000,0.000000,1.470000,0.000000,202.029999,1.630000,0.000000,-15.450000,-0.031088,0.004815,-0.012686,0.999424,-0.019900,0.000000,-0.023600
139,False,False,0.000000,0.000000,1.480000,0.000000,201.899994,1.630000,0.000000,-15.450000,-0.031169,0.004815,-0.012783,0.999421,-0.019100,0.000000,-0.023200
140,False,False,0.000000,0.000000,1.490000,0.000000,201.769989,1.630000,0.000000,-15.450000,-0.031244,0.004815,-0.012880,0.999417,-0.018300,0.000000,-0.022800
141,False,False,0.000000,0.000000,1.500000,0.000000,201.639999,1.630000,0.000000,-15.450000,-0.031314,0.004815,-0.012972,0.999414,-0.017500,0.000000,-0.022400
142,False,False,0.000000,0.000000,1.510000,0.000000,201.509995,1.630000,0.000000,-15.450000,-0.031384,0.004815,-0.013064,0.999410,-0.016800,0.000000,-0.022000
143,False,False,0.000000,0.000000,1.520000,0.000000,201.379990,1.630000,0.000000,-15.450000,-0.031449,0.004815,-0.013155,0.999407,-0.016100,0.000000,-0.021600
144,False,False,0.000000,0.000000,1.530000,0.000000,201.250000,1.630000,0.000000,-15.450000,-0.031514,0.004815,-0.013242,0.999404,-0.015400,0.000000,-0.021200
145,False,False,0.000000,0.000000,1.540000,0.000000,201.119995,1.630000,0.000000,-15.450000,-0.031573,0.004815,-0.013328,0.999401,-0.014700,0.000000,-0.020800
146,False,False,0.000000,0.000000,1.550000,0.000000,200.989990,1.630000,0.000000,-15.450000,-0.031633,0.004815,-0.013414,0.999398,-0.014100,0.000000,-0.020400
147,False,False,0.000000,0.000000,1.560000,0.000000,200.860001,1.630000,0.000000,-15.450000,-0.031686,0.004815,-0.013501,0.999395,-0.013500,0.000000,-0.020000
148,False,False,0.000000,0.000000,1.570000,0.000000,200.729996,1.630000,0.000000,-15.450000,-0.031740,0.004815,-0.013581,0.999392,-0.012900,0.000000,-0.019600
149,False,False,0.000000,0.000000,1.580000,0.000000,200.599991,1.630000,0.000000,-15.450000,-0.031789,0.004815,-0.013662,0.999390,-0.012300,0.000000,-0.019200
150,False,False,0.000000,0.000000,1.590000,0.000000,200.429993,1.630000,0.000000,-20.859999,-0.031838,0.004815,-0.013743,0.999387,-0.011800,0.000000,-0.018800
151,False,False,0.000000,0.000000,1.600000,0.000000,200.209991,1.630000,0.000000,-26.269999,-0.031886,0.004815,-0.013819,0.999384,-0.011300,0.000000,-0.018500
152,False,False,0.000000,0.000000,1.610000,0.000000,199.949997,1.630000,0.000000,-31.679998,-0.031929,0.004815,-0.013894,0.999382,-0.010800,0.000000,-0.018200
153,False,False,0.000000,0.000000,1.620000,0.000000,199.639999,1.630000,0.000000,-37.090000,-0.031972,0.004815,-0.013970,0.999380,-0.010300,0.000000,-0.017900
154,False,False,0.000000,0.000000,1.630000,0.000000,199.289993,1.630000,0.000000,-42.500000,-0.032016,0.004815,-0.014045,0.999377,-0.009800,0.000000,-0.017600
155,False,False,0.000000,0.000000,1.640000,0.000000,198.889999,1.630000,0.000000,-47.910000,-0.032053,0.004815,-0.014116,0.999375,-0.009400,0.000000,-0.017300
156,False,False,0.000000,0.000000,1.650000,0.000000,198.449997,1.630000,0.000000,-53.320000,-0.032091,0.004815,-0.014186,0.999373,-0.009000,0.000000,-0.017000
157,False,False,0.000000,0.000000,1.660000,0.000000,197.959991,1.630000,0.000000,-58.730000,-0.032129,0.004815,-0.014256,0.999370,-0.008600,0.000000,-0.016700
158,False,False,0.000000,0.000000,1.670000,0.000000,197.429993,1.630000,0.000000,-64.139999,-0.032161,0.004815,-0.014326,0.999368,-0.008200,0.000000,-0.016400
159,False,False,0.000000,0.000000,1.680000,0.000000,196.849991,1.630000,0.000000,-69.549995,-0.032194,0.004815,-0.014391,0.999366,-0.007800,0.000000,-0.016100
160,False,False,0.000000,0.000000,1.690000,0.000000,196.229996,1.630000,0.000000,-74.959999,-0.032226,0.004815,-0.014455,0.999364,-0.007400,0.000000,-0.015800
161,False,False,0.000000,0.000000,1.700000,0.000000,195.559998,1.630000,0.000000,-80.369995,-0.032253,0.004815,-0.014520,0.999363,-0.007100,0.000000,-0.015500
162,False,False,0.000000,0.000000,1.710000,0.000000,194.849991,1.630000,0.000000,-85.779999,-0.032280,0.004815,-0.014585,0.999361,-0.006800,0.000000,-0.015200
